,Z,N,E,S,W
2.8833333333333333,7411.342516018219,8170.680532648946,6510.036178179007,7224.768133478283,10886.286797652798
2.9,7387.646641756819,8142.518714290525,6503.255688339403,7218.157830346108,10869.065176192596
2.9166666666666665,7363.657923141325,8115.4145015994345,6494.025476423087,7211.721676814475,10850.776831140118
2.933333333333333,7339.315022579519,8089.37527172468,6483.415861064694,7205.615813060733,10830.957046077701
2.95,7314.795479187794,8064.640344608135,6472.575254128872,7199.6296032454575,10809.303728733157
2.966666666666667,7289.83810046413,8041.40280200687,6462.71103673091,7193.262653623759,10785.661652956229
2.9833333333333334,7265.222949742768,8019.609432130852,6454.50373531202,7186.468068111881,10759.767732264796
3.0,7240.817413028679,7999.389736822133,6447.68580059833,7179.396716880355,10732.14529843686
3.0166666666666666,7217.17008632489,7980.679131847485,6441.92382302003,7172.061108513826,10702.4234340256
3.033333333333333,7194.5054314596055,7963.351989482397,6436.424355878862,7164.051170664391,10670.668710857168
3.05,7173.045051795906,7947.11898796706,6429.984336389933,7155.6395762673865,10636.965334050146
3.0666666666666664,7153.04678792748,7931.690944355844,6421.493653115665,7147.1545937312785,10601.602619523102
3.0833333333333335,7134.433044525999,7916.204347115599,6410.429470934166,7138.284553855359,10565.867566409006
3.1,7117.180001982327,7900.0183092545385,6396.855776017006,7129.0369368204865,10530.642455244992
3.1166666666666667,7101.033482033555,7882.649227607221,6381.672677305346,7120.233747869621,10496.997133314286
3.1333333333333333,7085.626998797893,7863.783925100198,6366.356610505353,7111.547906707455,10465.329936358592
3.15,7070.796563679416,7842.981173795589,6351.710007985057,7102.524346091836,10435.873654658357
3.1666666666666665,7056.285225909006,7820.295533211898,6338.291106099173,7093.925362914931,10408.041254965863
3.183333333333333,7041.571950947621,7795.701733079465,6326.214505239182,7086.230926566535,10381.018504591473
3.2,7026.8230458291055,7769.811985283006,6314.988022207335,7078.704728069439,10354.3787293126
3.216666666666667,7011.257872306644,7742.555706905665,6304.307714247162,7071.276610622712,10327.785941767012
3.2333333333333334,6995.6067051821465,7714.4377365301325,6293.665008101021,7064.515349363765,10300.775258640888
3.25,6979.348797232405,7685.712281765247,6282.367512447235,7057.801155172561,10273.644313479834
3.2666666666666666,6963.120916781917,7657.174370935291,6270.063853661757,7050.5827707321705,10246.688627005238
3.283333333333333,6946.764607245084,7629.1816051429305,6256.817939683415,7043.350696535339,10220.032516130263
3.3,6930.418932998899,7602.296401331073,6242.899929335256,7036.793670857009,10193.132364134424
3.3166666666666664,6913.813085626011,7576.6263120412805,6228.1726453921765,7029.992454754002,10166.434027616897
3.3333333333333335,6896.966108348015,7552.325128608117,6212.685559753735,7022.895201895504,10138.831881463291
3.35,6879.947360739322,7529.304584885557,6196.176616734324,7016.161453477531,10109.990675539357
3.3666666666666667,6862.725795359525,7507.1790902885805,6178.338432637601,7009.813886220812,10079.800611287672
3.3833333333333333,6845.302497710557,7485.787038995521,6159.167909975613,7003.040735688684,10048.30015807082
3.4,6827.986958557169,7465.041611599712,6139.3320668695,6996.12984284094,10015.328674687245
3.4166666666666665,6810.950981224664,7444.885059882663,6119.5882531547695,6989.022266292897,9982.153011961454
3.433333333333333,6794.536639464428,7425.895859569451,6101.0404554040015,6982.161145206654,9949.265145994246
3.4499999999999997,6778.584921288516,7408.362578305777,6084.81905093073,6975.364374144451,9916.870805677474
3.466666666666667,6763.361956449621,7393.095488021445,6071.904929361489,6969.333328145127,9884.969501754746
3.4833333333333334,6748.746468239452,7380.352574907809,6062.84044776908,6963.863372424214,9853.465095904474
3.5,6734.733210310643,7371.003192349512,6057.509476376839,6958.271713787773,9821.266045483975
3.5166666666666666,6721.291607136628,7364.626225853046,6055.120678642245,6952.4448658121055,9788.347639886188
3.533333333333333,6708.448481481619,7361.000522692013,6054.3998720429045,6945.906889872039,9753.760442103352
3.55,6696.241422093083,7359.2179853809575,6053.7726252788825,6938.272356155543,9717.225502340718
3.5666666666666664,6684.47852579667,7358.5898255713455,6051.546663192072,6928.542949706419,9678.696286317863
3.5833333333333335,6673.050708285394,7358.106567870544,6046.472273393778,6918.096141731639,9639.160603526625
3.6,6661.613835477548,7356.499096907788,6038.019972619931,6906.797683699805,9598.795980689869
3.6166666666666667,6650.141914617829,7353.422725290552,6026.19018234426,6895.166311580331,9558.59596047404
3.6333333333333333,6638.637652020181,7347.871450633566,6011.851021899115,6883.523295940262,9519.076719091303
3.65,6627.214289042623,7340.280232395545,5996.368929961665,6871.755867936702,9480.016824400695
3.6666666666666665,6615.911232380501,7330.229106826414,5981.646596929716,6860.380104067216,9441.12931312753
3.683333333333333,6604.962436659511,7318.197672626163,5969.101377179092,6849.122144894128,9401.644767430544
3.6999999999999997,6594.458981731312,7304.02958447524,5959.386907634884,6838.6955345260685,9360.64565008045
3.716666666666667,6584.500010656508,7288.458778205292,5952.385259317966,6829.029171034898,9317.366121133213
3.7333333333333334,6574.824853782961,7272.1042776968425,5947.271326953706,6819.861399233317,9271.899349256615
3.75,6565.5301163602235,7255.140704219489,5942.8189547531465,6811.413201726858,9224.145113971766
3.7666666666666666,6556.308813613591,7237.492646272636,5937.393272051828,6803.027813223029,9174.957643571837
3.783333333333333,6547.327450078311,7219.076353094824,5929.580151414087,6794.621693333059,9125.18682834788
3.8,6538.612622271361,7199.801548894947,5918.568520534076,6786.070545505415,9075.95691531697
3.8166666666666664,6530.330549282631,7179.659321692279,5904.705565645499,6777.490491631437,9027.908768897007
