x,y,z
29.250175,-3.897081,2.324
33.750501,-3.897491,2.164
38.250636,-3.896921,2.135
42.74998,-3.897523,2.171
27.000607,-7.793848,2.272
31.499951,-7.79445,1.99
36.000086,-7.793879,2
40.500412,-7.79429,1.932
29.250383,-11.691217,1.81
33.750709,-11.691628,1.731
38.249862,-11.691249,1.758
-27.746682,-198.454281,4.773
-23.246356,-198.454692,4.083
-18.747203,-198.454313,3.015
-29.997232,-202.35124,3.698
-25.496906,-202.351651,3.712
-20.996772,-202.35108,3.307
-16.496446,-202.351491,2.914
-32.246609,-206.248989,2.835
-27.746474,-206.248418,3.122
-23.24713,-206.24902,3.304
-18.746996,-206.248449,3.081
-14.24667,-206.24886,2.243
-29.997024,-210.145376,2.527
-25.496698,-210.145787,2.535
-20.996373,-210.146198,2.722
-16.49722,-210.145819,2.062
-27.747248,-214.042746,2.096
-23.246922,-214.043157,2.114
-18.746788,-214.042586,1.968
-43.49726,-186.763506,3.55
-38.996934,-186.763917,2.883
-34.497781,-186.763538,2.591
-45.74781,-190.660465,3.84
-41.247484,-190.660875,4.297
-36.74735,-190.660305,4.541
-32.247024,-190.660716,3.98
-47.997187,-194.558213,3.804
-43.497053,-194.557643,4.031
-38.997708,-194.558245,4.348
-34.497574,-194.557674,5.366
-29.997248,-194.558085,4.741
-45.747602,-198.454601,3.467
-41.247277,-198.455012,4.053
-36.746951,-198.455423,4.489
-32.247798,-198.455043,4.411
-43.497826,-202.351971,3.604
-38.997501,-202.352381,3.159
-34.497366,-202.351811,3.542
-59.247838,-175.072731,2.083
-54.747513,-175.073142,2.07
-50.24836,-175.072762,2.054
-61.498388,-178.969689,2.35
-56.998062,-178.9701,2.257
-52.497928,-178.969529,2.076
-47.997602,-178.96994,2.013
-63.747765,-182.867438,2.686
-59.247631,-182.866867,2.606
-54.748286,-182.86747,2.567
-50.248152,-182.866899,2.495
-45.747826,-182.86731,2.354
-61.498181,-186.763826,3.457
-56.997855,-186.764237,3.784
-52.497529,-186.764647,3.297
-47.998376,-186.764268,3.218
-59.248405,-190.661195,3.455
-54.748079,-190.661606,3.92
-50.247944,-190.661035,3.516
-61.496992,-194.557771,3.751
-56.996666,-194.558182,3.478
-52.497513,-194.557803,3.599
-63.747542,-198.45473,3.566
-59.247216,-198.45514,3.436
-54.747081,-198.45457,3.464
-50.246755,-198.45498,3.649
-65.996918,-202.352478,3.833
-61.496784,-202.351907,3.362
-56.99744,-202.35251,3.301
-52.497305,-202.351939,3.345
-47.996979,-202.35235,3.168
-63.747334,-206.248866,3.796
-59.247008,-206.249277,3.182
-54.746682,-206.249688,3.011
-50.247529,-206.249308,2.833
-61.497558,-210.146235,3.582
-56.997232,-210.146646,3.419
-52.497098,-210.146076,3.15
-63.746145,-214.042811,3.629
-59.245819,-214.043222,3.418
-54.746666,-214.042843,3.275
-65.996695,-217.93977,3.762
-61.496369,-217.940181,3.501
-56.996234,-217.93961,3.298
-52.495909,-217.940021,2.704
-68.246072,-221.837518,3.93
-63.745937,-221.836948,3.613
-59.246593,-221.83755,3.472
-54.746458,-221.836979,2.9
-50.246133,-221.83739,2.944
-65.996487,-225.733906,3.988
-61.496161,-225.734317,3.42
-56.995835,-225.734728,3.24
-52.496682,-225.734349,3.373
-63.746711,-229.631276,3.928
-59.246385,-229.631686,5.081
-54.746251,-229.631116,4.588
-77.24757,-182.866996,2.924
-72.747244,-182.867407,2.76
-68.248091,-182.867027,2.578
-79.49812,-186.763954,4.146
-74.997794,-186.764365,3.329
-70.497659,-186.763794,3.212
-65.997334,-186.764205,3.737
-81.747497,-190.661703,3.852
-77.247362,-190.661132,4.032
-72.748018,-190.661734,3.973
-68.247884,-190.661164,3.892
-63.747558,-190.661575,3.534
-79.497912,-194.558091,3.795
-74.997586,-194.558502,3.553
-70.49726,-194.558912,3.568
-65.998108,-194.558533,3.464
-77.248136,-198.45546,3.531
-72.74781,-198.455871,3.461
-68.247676,-198.4553,3.56
-79.496723,-202.352036,4.018
-74.996397,-202.352447,3.964
-70.497244,-202.352067,3.902
-81.747273,-206.248994,3.999
-77.246947,-206.249405,4.223
-72.746813,-206.248835,4.199
-68.246487,-206.249245,4.084
-83.99665,-210.146743,4.292
-79.496515,-210.146172,4.22
-74.997171,-210.146775,4.207
-70.497037,-210.146204,4.1
-65.996711,-210.146615,3.735
-81.747065,-214.043131,4.212
-77.246739,-214.043542,4.219
-72.746414,-214.043953,4.151
-68.247261,-214.043573,4.083
-79.497289,-217.9405,4.286
-74.996964,-217.940911,4.241
-70.496829,-217.94034,3.861
-92.998148,-171.17622,2.691
-88.497822,-171.176631,3.164
-83.998669,-171.176252,2.77
-95.248698,-175.073179,2.705
-90.748372,-175.07359,2.912
-86.248238,-175.073019,3.349
-81.747912,-175.07343,2.681
-97.498075,-178.970928,2.8
-92.997941,-178.970357,2.904
-88.498596,-178.970959,3.047
-83.998462,-178.970389,3.586
-79.498136,-178.970799,2.768
-95.24849,-182.867316,2.918
